peer_addr = 172.16.253.11:5556
test begin!

BlockID  bct  BlockSize  Priority  Deadline
      1749     14111      1175         1       200
      1765     14110      1215         1       200
      1757     14134    107620         2       200
      1761     14112      1130         1       200
      1769     14113      7585         2       200
      1777     14111      1245         1       200
      1773     14111      1250         1       200
      1781     14121     51565         2       200
      1785     14111      1225         1       200
      1789     14110      1215         1       200
      1793     14119      9130         2       200
      1797     14112      1285         1       200
      1801     14116      1255         1       200
      1809     14112      1260         1       200
      1805     14141    131960         2       200
      1813     14114      1275         1       200
      1817     14112      8225         2       200
      1821     14115      1270         1       200
      1825     14110      1400         1       200
      1829     14125     43775         2       200
      1833     14118      1190         1       200
      1837     14111      1210         1       200
      1841     14119      9335         2       200
      1845     14119      1350         1       200
      1849     14111      1220         1       200
      1857     14113      1245         1       200
      1861     14113      1280         1       200
      1853     14175    141110         2       200
      1865     14113      8800         2       200
      1869     14118      1210         1       200
      1873     14117      1275         1       200
      1877     14120     48815         2       200
      1881     14116      1245         1       200
      1885     14111      1220         1       200
      1889     14113      8360         2       200
      1893     14117      1235         1       200
      1897     14117      1245         1       200
      1901     14131     99865         2       200
      1905     14113      1315         1       200
      1909     14113      1295         1       200
      1913     14116      8690         2       200
      1917     14118      1240         1       200
      1921     14114      1285         1       200
      1925     14120     49515         2       200
      1929     14127      1235         1       200
      1933     14112      1265         1       200
      1937     14114      9100         2       200
      1941     14114      1255         1       200
      1945     14112      1255         1       200
      1949     14128     85070         2       200
      1957     14111      1260         1       200
      1953     14130      1250         1       200
      1961     14115      9610         2       200
      1965     14115      1270         1       200
      1969     14112      1295         1       200
      1973     14119     42285         2       200
      1977     14119      1305         1       200
      1981     14112      6955         2       200
      1985     14113      1315         1       200
      1989     14119      1255         1       200
      1993     14126     86385         2       200
      2001     14113      1310         1       200
      1997     14113      1345         1       200
      2005     14115     10375         2       200
      2009     14111      1305         1       200
      2013     14113      1285         1       200
      2017     14127     47805         2       200
      2025     14112      1315         1       200
      2021     14112      1330         1       200
      2029     14120      8905         2       200
      2033     14111      1325         1       200
      2037     14113      1265         1       200
      2041     14122     58350         2       200
      2045     14112      1285         1       200
      2049     14112      1295         1       200
      2053     14113      9455         2       200
      2057     14110      1265         1       200
      2061     14113      1300         1       200
      2065     14118     42995         2       200
      2069     14112      1370         1       200
      2073     14111      1275         1       200
      2081     14114      1235         1       200
      2085     14112      1285         1       200
      2089     14119     30635         2       200
      2093     14114      1275         1       200
      2097     14112      1285         1       200
      2101     14120     57015         2       200
      2105     14112      1285         1       200
      2109     14112      1250         1       200
      2113     14117     28840         2       200
      2117     14112      1320         1       200
      2121     14113      1295         1       200
      2125     14121     69250         2       200
      2129     14111      1400         1       200
      2133     14111      1235         1       200
      2137     14116     31205         2       200
      2141     14111      1250         1       200
      2145     14111      1270         1       200
      2149     14121     63230         2       200
      2153     14112      1365         1       200
      2157     14111      1385         1       200
      2161     14116     25415         2       200
      2165     14112      1285         1       200
      2169     14112      1230         1       200
      2177     14114      1260         1       200
      2173     14125     74505         2       200
      2181     14111      1310         1       200
      2185     14116     29715         2       200
      2189     14116      1290         1       200
      2193     14110      1300         1       200
      2197     14203     66595         2       200
      2205     14116      1310         1       200
      2201     14208      1385         1       200
      2213     14119      1260         1       200
