peer_addr = 172.16.253.11:5555
test begin!

BlockID	bct	BlockSize	Priority	Deadline
1177      	     14111	      1320	         1	       200
1181      	     14128	    282310	         2	       200
1185      	     14111	      1290	         1	       200
1189      	     14119	     38445	         2	       200
1193      	     14123	      1280	         1	       200
1197      	     14111	      1290	         1	       200
1201      	     14113	     39640	         2	       200
1205      	     14117	      1295	         1	       200
1209      	     14111	      1255	         1	       200
1213      	     14120	    182250	         2	       200
1217      	     14122	      1310	         1	       200
1221      	     14112	      1300	         1	       200
1225      	     14120	     40540	         2	       200
1229      	     14121	      1305	         1	       200
1233      	     14111	      1255	         1	       200
1237      	     14119	    104320	         2	       200
1241      	     14119	      1290	         1	       200
1245      	     14111	      1350	         1	       200
1249      	     14118	     42685	         2	       200
1253      	     14117	      1340	         1	       200
1257      	     14111	      1280	         1	       200
1261      	     14120	    181965	         2	       200
1265      	     14120	      1270	         1	       200
1269      	     14111	      1295	         1	       200
1273      	     14114	     44050	         2	       200
1277      	     14112	      1215	         1	       200
1281      	     14111	      1220	         1	       200
1285      	     14120	     90725	         2	       200
1289      	     14116	      1245	         1	       200
1293      	     14111	      1250	         1	       200
1297      	     14119	     43015	         2	       200
1301      	     14115	      1255	         1	       200
1305      	     14111	      1250	         1	       200
1309      	     14119	    117775	         2	       200
1313      	     14113	      1255	         1	       200
1317      	     14113	      1310	         1	       200
1321      	     14113	     47300	         2	       200
1325      	     14111	      1275	         1	       200
1329      	     14111	      1280	         1	       200
1333      	     14122	     93490	         2	       200
1337      	     14113	      1305	         1	       200
1341      	     14111	      1470	         1	       200
1345      	     14146	   1000000	         2	       200
1349      	     14139	      1530	         1	       200
1353      	     14120	      1475	         1	       200
1357      	     14114	      6940	         2	       200
1361      	     14118	      1160	         1	       200
1365      	     14111	      1200	         1	       200
1369      	     14113	      5895	         2	       200
1373      	     14111	      1230	         1	       200
1377      	     14123	      1235	         1	       200
1381      	     14120	    121240	         2	       200
1385      	     14112	      1230	         1	       200
1389      	     14118	      1255	         1	       200
1393      	     14119	      8620	         2	       200
1397      	     14111	      1265	         1	       200
1401      	     14112	      1855	         1	       200
1405      	     14120	    144510	         2	       200
1409      	     14111	      1105	         1	       200
1413      	     14111	      1185	         1	       200
1417      	     14120	      9965	         2	       200
1421      	     14112	      1220	         1	       200
1425      	     14112	      1205	         1	       200
1429      	     14121	    180015	         2	       200
1433      	     14111	      1235	         1	       200
1437      	     14112	      1270	         1	       200
1441      	     14120	     10235	         2	       200
1445      	     14111	      1200	         1	       200
1449      	     14113	      1300	         1	       200
1453      	     14120	    122240	         2	       200
1457      	     14111	      1265	         1	       200
1461      	     14113	     10950	         2	       200
1465      	     14117	      1240	         1	       200
1469      	     14112	      1330	         1	       200
1473      	     14120	     69200	         2	       200
1477      	     14122	      1260	         1	       200
1481      	     14111	      1280	         1	       200
1485      	     14115	     11215	         2	       200
1489      	     14117	      1275	         1	       200
1493      	     14112	      1335	         1	       200
1497      	     14120	     66440	         2	       200
1501      	     14121	      1255	         1	       200
1505      	     14112	      1295	         1	       200
1509      	     14149	   1000000	         2	       200
1513      	     14145	      1390	         1	       200
1517      	     14123	      1485	         1	       200
1521      	     14114	     44625	         2	       200
1525      	     14112	      1395	         1	       200
1529      	     14112	      1240	         1	       200
1533      	     14119	      6895	         2	       200
1537      	     14117	      1210	         1	       200
1541      	     14112	      1230	         1	       200
1545      	     14121	    137795	         2	       200
1549      	     14118	      1180	         1	       200
1553      	     14112	      1195	         1	       200
1557      	     14119	      8225	         2	       200
1561      	     14115	      1220	         1	       200
1565      	     14112	      1250	         1	       200
1569      	     14121	    110655	         2	       200
1573      	     14115	      1375	         1	       200
1577      	     14112	      1425	         1	       200
1581      	     14120	      8410	         2	       200
1585      	     14115	      1495	         1	       200
1589      	     14112	      1310	         1	       200
1593      	     14116	     49900	         2	       200
1597      	     14112	      1220	         1	       200
1601      	     14112	      1210	         1	       200
1605      	     14118	      9815	         2	       200
1609      	     14112	      1230	         1	       200
1613      	     14113	      1210	         1	       200
1617      	     14123	    140975	         2	       200
1621      	     14113	      1240	         1	       200
1625      	     14119	      1405	         1	       200
1629      	     14116	     10135	         2	       200
1633      	     14112	      1345	         1	       200
1637      	     14113	      1160	         1	       200
1641      	     14120	     53425	         2	       200
1645      	     14112	      1145	         1	       200
1649      	     14112	      1195	         1	       200
1653      	     14114	     12565	         2	       200
1657      	     14112	      1230	         1	       200
1661      	     14113	      1250	         1	       200
1665      	     14122	    135465	         2	       200
1669      	     14113	      1260	         1	       200
1673      	     14112	      1280	         1	       200
1677      	     14118	      8735	         2	       200
1681      	     14113	      1450	         1	       200
1685      	     14112	      1355	         1	       200
1689      	     14121	     45795	         2	       200
1693      	     14112	      1230	         1	       200
1697      	     14113	      1495	         1	       200
1701      	     14116	      8760	         2	       200
1705      	     14112	      1345	         1	       200
1709      	     14114	      1295	         1	       200
1713      	     14119	    131115	         2	       200
1717      	     14113	      1180	         1	       200
1721      	     14120	      7615	         2	       200
1725      	     14130	      1130	         1	       200
1729      	     14112	      1210	         1	       200
1733      	     14121	     47885	         2	       200
1737      	     14123	      1150	         1	       200
1741      	     14113	      1225	         1	       200
1745      	     14121	      8305	         2	       200
1749      	     14123	      1175	         1	       200
1753      	     14114	      1210	         1	       200
1757      	     14121	    107620	         2	       200
1761      	     14121	      1130	         1	       200
1765      	     14112	      1215	         1	       200
1769      	     14119	      7585	         2	       200
1773      	     14120	      1250	         1	       200
